indice,estrelas,comentario,qtd_estrelas,avaliacao,tamanho_comentario
1,Filled Star Star Star Star Star,   rely knowledge essentially untaught course understand lecture material disgraceful end solid course sequence,1,0,249
2,Filled Star Filled Star Star Star Star,   course far course sequence think help build understanding sequence find try feel exercise read documentation think pass course solid understanding go sequence focus understand happen program try figure syntax useful well prep course,2,0,645
3,Filled Star Star Star Star Star,   appal present year clear let try earn live deep apparently work small income sufficient result class remain accrue residual income staff apparently go,1,0,419
4,Filled Star Filled Star Filled Star Star Star,   like ai specialization like Sequence course feel learn course specialization believe extensive use framework great well understand tween optional allow well understand material learn repetition second course great number high true example jazz Improvisation exercise nightmare Overall thank course despite recommend,3,0,802
5,Filled Star Filled Star Star Star Star,   great wonderful teacher miserable notebook probably stable piece force interact spend countless trap able perform basic saving work lose work innumerable time like eventually save work text editor system fear system stable worthless learn majority boil cryptic game fill blank line t recommend class current state especially service well quality,2,0,835
6,Filled Star Star Star Star Star,   pass training provide learn course question pay,1,0,160
7,Filled Star Filled Star Filled Star Filled Star Filled Star,   set context Computer Engineering University work professional getting field AI flash preamble course review,5,1,264
8,Filled Star Filled Star Filled Star Filled Star Filled Star,   grateful team provide good course learn course excite wake word detection model actually work exercise,5,1,199
9,Filled Star Filled Star Filled Star Filled Star Filled Star,   want thank team amazing work definitely world well place knowledge inspiration,5,1,155
10,Filled Star Filled Star Star Star Star,   go course ai Specialization happy specialization bad impression Sequence course actually quality gradually start course specialization end sequence,2,0,365
11,Filled Star Star Star Star Star,   exercise,1,0,47
12,Filled Star Filled Star Filled Star Star Star,   informative especially content relate de important step,3,0,153
13,Filled Star Filled Star Filled Star Filled Star Filled Star,   course good teach important build sequence model neatly precisely design real world application,5,1,200
14,Filled Star Filled Star Filled Star Filled Star Filled Star,   learnt lot new learn course lot new fascinating course teach,5,1,199
15,Filled Star Filled Star Filled Star Filled Star Filled Star,   course interesting pretty complex probably review work Thank wonderful course series,5,1,199
16,Filled Star Star Star Star Star,   Professor little bit confused subject make unnecessary go deep algorithm explain context Convolution Neural course hope professor topic clearly confused topic,1,0,360
17,Filled Star Filled Star Filled Star Filled Star Filled Star,   great instruction work solve real particularly useful use Bidirectional Attention work,5,1,199
18,Filled Star Filled Star Star Star Star,   quickly skim overly brief introduction,2,0,89
19,Filled Star Filled Star Filled Star Filled Star Filled Star,   lot deep learning design easy understand assignment good enhance understanding,5,1,200
20,Filled Star Star Star Star Star,   super unorganized,1,0,18
21,Filled Star Filled Star Filled Star Filled Star Filled Star,   m blow away quickly series bring think neural network magic box fairy dust able understand al complex network tick level glance lot time obviously go course ounce fat present format intuition dive nitty gritty optional learning Thank team ai,5,1,557
22,Filled Star Filled Star Filled Star Filled Star Filled Star,   good instruction clear helpful learned got stick,5,1,201
23,Filled Star Filled Star Filled Star Filled Star Filled Star,   hope elaborate time bit tricky need think implementation deep learning,5,1,199
24,Filled Star Filled Star Filled Star Filled Star Filled Star,   happy learn deep learning,5,1,70
25,Filled Star Filled Star Filled Star Filled Star Filled Star,   able study world class Deep Learning course affordable price thank team,5,1,135
26,Filled Star Filled Star Filled Star Filled Star Filled Star,   trouble course talk seriously deep s difficult present work practical work,5,1,191
27,Filled Star Filled Star Filled Star Filled Star Filled Star,   series course comprehensive overview algorithm different enjoy deal audio course skip linear algebra differentiation look hope well implement datum different sequential datum significant,5,1,425
28,Filled Star Filled Star Filled Star Filled Star Filled Star,   knowledge level s Deep Learning Specialization systematic easy understand program able increase interest understand Deep Learning Based want change field work work relate Deep Learning goal person AI AI,5,1,424
29,Filled Star Filled Star Filled Star Filled Star Filled Star,   great sequence,5,1,52
30,Filled Star Filled Star Filled Star Filled Star Filled Star,   complexity sequence learn Machine Learning course give easy intuition sequence dwell deep mathematical person little experience Linear Algebra lot understand apply solve problem Thanks Prof team,5,1,421
31,Filled Star Filled Star Filled Star Filled Star Filled Star,   think great course relate consider large detailed content course new course perfect thoughtful content versus light easy produce thank prepare,5,1,420
32,Filled Star Filled Star Filled Star Filled Star Filled Star,   absolutely fantastic Deep Learning professional Computer Vision work Vision life learn modal AI find Sequence shaky came learn continue journey modal AI hybrid image lucid great teacher,5,1,417
33,Filled Star Filled Star Filled Star Filled Star Filled Star,   Superb course structure beautifully complement guidance easy acquainted suggestion slightly organize detailed help course material later glance go awesome course great learn thank,5,1,420
34,Filled Star Filled Star Filled Star Filled Star Filled Star,   learn deep learning specialization Special thank course material interesting manner frankly m little bit disappoint specialization short Expect specialization future maybe learn thank great experience,5,1,416
35,Filled Star Filled Star Filled Star Filled Star Filled Star,   m grateful chance program affordable price good educational deal come teach continue subject thank possible definitely try contribution humanity Prof,5,1,402
36,Filled Star Filled Star Filled Star Filled Star Filled Star,   pretty interesting course learn lot natural language different input help fully grasp content material learn lot gain familiarity,5,1,410
37,Filled Star Filled Star Filled Star Filled Star Filled Star,   Thank Prof team series entire specialization brilliant way structure real life good Prof smile face humble thank spend time specialization way round,5,1,410
38,Filled Star Filled Star Filled Star Filled Star Filled Star,   highly recommend course audience Professor outstanding researcher tremendous experience know lecturer clear explanation interesting provide class lot experience knowledge field deep learn grateful time effort provide,5,1,411
39,Filled Star Filled Star Filled Star Filled Star Filled Star,   good course see recurrent neural Prof simple manner example understand structure Prof easy understand fashion Likewise bidirectional code beautiful detail,5,1,411
40,Filled Star Filled Star Filled Star Filled Star Filled Star,   thank Professor team deep learn specialization course material design learn perfectly manageable investment week learn effective find Professor s wisdom invaluable regardless level machine learning,5,1,406
41,Filled Star Filled Star Filled Star Filled Star Filled Star,   good course course specialization design structured application pretty fun solve involve real world course give direct exposure industry level gain future deep learning excited continue work deep learning,5,1,404
42,Filled Star Filled Star Filled Star Filled Star Filled Star,   hello big fan Learning course unfortunate remotely,5,1,121
43,Filled Star Filled Star Filled Star Filled Star Filled Star,   sequence course state art deep learn methodology instructor awesome help solidify lecture comment course relatively new polished Deep Learning Specialization m sure future eliminate near future,5,1,402
44,Filled Star Filled Star Filled Star Filled Star Filled Star,   good course help understand sequence work apply Majority Practical challenge problem bit theory provide overall course positive experience recommend Special thank people course possible,5,1,393
45,Filled Star Filled Star Filled Star Filled Star Filled Star,   course bit hard specialization partly feel like bit hurry good thing think read documentation derive believe engagement topic understand remember well,5,1,393
46,Filled Star Filled Star Filled Star Filled Star Filled Star,   s rewarding apply learn previous Deep Learning specialization time base feel well understand magic technology like virtual speech recognition work material useful specialization feel incomplete course,5,1,393
47,Filled Star Filled Star Filled Star Filled Star Filled Star,   shall start module far m glad able finish Searching task think head set great continue path explore world AI Thank effort spend share knowledge great job,5,1,391
48,Filled Star Filled Star Filled Star Filled Star Filled Star,   outstanding course Deep Learning,5,1,47
49,Filled Star Filled Star Filled Star Filled Star Filled Star,   course engage clearly lot time easy difficult combine reinforce great improvement allocate week material,5,1,391
50,Filled Star Filled Star Filled Star Filled Star Filled Star,   s great class great instructor wish bit hard course come graduate degree realize s hard cater educational optional involved class thank teach,5,1,391
51,Filled Star Filled Star Filled Star Filled Star Filled Star,   effective mix theory practical practice form valuable recommend errata course notice quiz pick go find,5,1,488
52,Filled Star Filled Star Filled Star Filled Star Filled Star,   smooth speech recognition flow course design,5,1,118
53,Filled Star Filled Star Filled Star Filled Star Filled Star,   amazing course overall Prof s find s clear ton thought go exciting surprisingly fun little understand course s fantastic course overall provide truly unique,5,1,485
54,Filled Star Filled Star Filled Star Filled Star Filled Star,   AI course significant progress understand deep learning thank Professor s informative course grasp complex possible possible use logic develop new recommend course interested AI Thanks Professor make course,5,1,478
55,Filled Star Filled Star Filled Star Filled Star Filled Star,   amazing course great help learn lot n lot stuff Learn recurrent neural work extremely temporal datum word vector concise manner importantly love Attention mechanism model understand focus attention give sequence amazing amazing highly,5,1,478
56,Filled Star Filled Star Filled Star Filled Star Filled Star,   course great introduction world start basic sequence way Convolutional wrap Attention Algorithm great base work start Deep Learning career course structure life save grateful course wait Advanced Specialization ai,5,1,477
57,Filled Star Filled Star Filled Star Filled Star Filled Star,   good course specialization thing notice assignment hard save submit pretty organized,5,1,268
58,Filled Star Filled Star Filled Star Filled Star Filled Star,   Specialization great clear interesting,5,1,76
59,Filled Star Filled Star Filled Star Filled Star Filled Star,   Excellent Course Professor detail excellent provide super fun complete test knowledge offer time library use future course specialization lot thank staff hope like future,5,1,464
60,Filled Star Filled Star Filled Star Filled Star Filled Star,   love course maybe half year try learn think give t able learn year think twice hour know news free time want thank Professor site day student Professor,5,1,464
61,Filled Star Filled Star Filled Star Filled Star Filled Star,   greatly knowledgeable course learn lot natural language Word Attention Mechanism course provide essential math fun implement Language Neural Machine Translation Speech Recognition surely recommend course diving world need perfect introduction,5,1,463
62,Filled Star Filled Star Filled Star Filled Star Filled Star,   systematic structure specialization course deep learn team focus help well come zero Deep learn confident research work like thank team wonderful specialization,5,1,460
63,Filled Star Filled Star Filled Star Filled Star Filled Star,   good course mainly assignment t depth deliver intuition,5,1,193
64,Filled Star Filled Star Filled Star Filled Star Filled Star,   end course little complicated previous especially homework special basic framework sequence lesson word AI design human stale good principle design AI yes teach new AI,5,1,457
65,Filled Star Filled Star Filled Star Filled Star Filled Star,   d recommend course want find search life series learn specialization important technical advanced AI world standing suppose think well m future,5,1,376
66,Filled Star Filled Star Filled Star Filled Star Filled Star,   finally piece effort worth understand fall amazing well try far definitely difference professional confirm activity sector want develop work want grow doubt,5,1,381
68,Filled Star Filled Star Filled Star Filled Star Filled Star,   difficult interesting course ai,5,1,104
69,Filled Star Filled Star Filled Star Filled Star Filled Star,   course easy knowledge invest time site s like fit big puzzle need fit small,5,1,286
70,Filled Star Filled Star Filled Star Filled Star Filled Star,   course content coverage good duration little short understand extend spend little time speech recognition music generation audio datum,5,1,295
71,Filled Star Filled Star Filled Star Filled Star Filled Star,   wonderful course expert instruction Prof t recommend Specialization,5,1,102
72,Filled Star Filled Star Filled Star Filled Star Filled Star,   fun stuff don t focus complicated simple certainly course future reference,5,1,180
73,Filled Star Filled Star Filled Star Filled Star Filled Star,   sequence subject people work meeting mention final resource solution feel well understand thank course,5,1,208
74,Filled Star Filled Star Filled Star Filled Star Filled Star,   forth time save Python worth reduction experience suppose t class feel t lead trial error experience s hard,5,1,338
75,Filled Star Filled Star Filled Star Filled Star Filled Star,   immensely grateful hold course specially Prof way concept mathematical endear excellent,5,1,161
76,Filled Star Filled Star Filled Star Star Star,   week amazing week bad nicely go second hardly,3,0,167
77,Filled Star Filled Star Filled Star Star Star,   week exercise incomparably hard entire specialization,3,0,93
78,Filled Star Filled Star Star Star Star,   transformer subclass exercise super useless task spend task learn,2,0,115
79,Filled Star Filled Star Star Star Star,   improve assignment accuracy well,2,0,58
80,Filled Star Filled Star Star Star Star,   lot,2,0,55
81,Filled Star Star Star Star Star,   course overall teach new unsure exactly use,1,0,92
82,Filled Star Star Star Star Star,   material show math lead intrinsic understanding material fill gap enhance comprehension,1,0,205
83,Filled Star Star Star Star Star,   love seriously inspire field Deep Learning like det course expensive wrong direction give decent time finish course extension way well learn worth money,1,0,414
84,Filled Star Star Star Star Star,   Dry Immense space improvement instead numerous lecture haphazardly Notation linear algebra elementary hyper,1,0,312
85,Filled Star Star Star Star Star,   poor submission system times redo high speed network course problematic willing fix,1,0,233
86,Filled Star Star Star Star Star,   week impossible follow lecture likely intentionally assignment stop pay monthly fee,1,0,192
87,Filled Star Star Star Star Star,   clearly structured Course Specialization bittersweet end great set disappoint,1,0,169
88,Filled Star Star Star Star Star,   good specialization,1,0,52
89,Filled Star Star Star Star Star,   completely useless,1,0,48
90,Filled Star Filled Star Filled Star Filled Star Filled Star,   spend digital company thank team make effort way Specialization AI learn inner neural single minute disappointed decision extremely overall particular course sequence enjoyable intuition necessary understand background basis work week Attention base little bit introductory give Attention concept explode course execute critique specialization later port find introduction content leave student effort understand use bit time suggest couple ungraded order teach student bit well use framework min,5,1,1904
91,Filled Star Filled Star Filled Star Filled Star Filled Star,   year ago basically blank Machine Learning,5,1,69
92,Filled Star Filled Star Filled Star Filled Star Filled Star,   fantastic course nice way finish Deep Learning Specialization certainly difficult specialization take lot long partially fact focus bit briefly turn crucial forum lot able crack week especially optional derivation set end understand lot well find nice complementary complex variable network course difficult feel finally good grasp Deep Learning nice set super fun useful thank team make wonderful content teach university level imagine effort go course high level encourage specialization specia,5,1,1357
93,Filled Star Filled Star Filled Star Filled Star Filled Star,   apparent think effort state art Sequence complex expertly focus essential feel like spoon feed great approach ease deep learn field guidance independent able figure future TA s,5,1,642
94,Filled Star Filled Star Filled Star Filled Star Filled Star,   perspective learner big disaster encounter,5,1,84
95,Filled Star Filled Star Filled Star Filled Star Filled Star,   course usually team wonderful job explain hard material accessible way distinction s class intuition particular approach work sure forget particular regularization exist remember use regularization,5,1,462
96,Filled Star Filled Star Filled Star Filled Star Filled Star,   thank Professor offer high quality Deep Learning specialization specialization overall gain solid strong intuition build Neural m look forward level course track thank Sir,5,1,323
97,Filled Star Filled Star Filled Star Filled Star Filled Star,   review Deep Learning Specialization want thank Professor Deep Learning Specialization fantastic feel finish exam,5,1,256
98,Filled Star Filled Star Filled Star Filled Star Filled Star,   terrific set deep learn neural course student time base address speech recognition music generation sentiment classification machine translation video activity entity recognition,5,1,287
99,Filled Star Filled Star Filled Star Filled Star Filled Star,   Dear Prof,5,1,19
100,Filled Star Filled Star Filled Star Filled Star Filled Star,   begin find instructor little difficult understand good explaining complicated simply sure reason unfamiliar technical switch option comprehension average translation error video instructor s accent interesting guess system use little training specific AI vocabulary context error subject matter,5,1,631
101,Filled Star Filled Star Filled Star Filled Star Filled Star,   great finish learn lot core proceed Deep Learning piece feedback intermediary step lot intricate,5,1,292
102,Filled Star Filled Star Filled Star Filled Star Filled Star,   great selection clear allow understand Time series analysis Sequential great course thank team,5,1,291
103,Filled Star Filled Star Filled Star Filled Star Filled Star,   course content good video make confused bit good video look watch video prepare,5,1,292
104,Filled Star Filled Star Filled Star Filled Star Filled Star,   Excellent teaching organization s great include state art like Transformer recommend teach practical like apply directly practical course,5,1,290
105,Filled Star Filled Star Filled Star Filled Star Filled Star,   great appreciation course incredibly teach Thank enlightening course think structure organize forum helpful got stick,5,1,291
106,Filled Star Filled Star Filled Star Filled Star Filled Star,   great course Deep Learning nice people world relatively easily access learn problem thank make widely available,5,1,288
107,Filled Star Filled Star Filled Star Filled Star Filled Star,   amazed learning experience ai team way s teach experience building like contribute space research,5,1,288
108,Filled Star Filled Star Filled Star Filled Star Filled Star,   insightful detail model influence data generation sequence base theory interested language text highly recommend course,5,1,288
109,Filled Star Filled Star Filled Star Filled Star Filled Star,   great course course material bit general unbearable cover overview machine learn amazing start deep learn relate novice point view,5,1,287
110,Filled Star Filled Star Filled Star Filled Star Filled Star,   like course s beneficial clear concept clear,5,1,74
111,Filled Star Filled Star Filled Star Filled Star Filled Star,   course learn fun number new learnt course remarkable mot complicated teach way tough clear,5,1,286
112,Filled Star Filled Star Filled Star Filled Star Filled Star,   fantastic course theory practical straightforward manner easy grasp mix illustrative inner practically useful,5,1,286
113,Filled Star Filled Star Filled Star Filled Star Filled Star,   excellent amazing good quality lecture thank team give good overview use feel series dramatically entry project decide thank,5,1,286
114,Filled Star Filled Star Filled Star Filled Star Filled Star,   well introductory material suggest specialization ai try time Thank get emotional video course example,5,1,285
115,Filled Star Filled Star Filled Star Filled Star Filled Star,   far good Course Specialization Thank Thank Sir confident able Field Deep Learning grateful Sir try well use knowledge superpower right way,5,1,285
116,Filled Star Filled Star Filled Star Filled Star Filled Star,   course good,5,1,27
117,Filled Star Filled Star Filled Star Filled Star Filled Star,   opinion module little complex previous excellent course deepen knowledge recurrent neural close specialization program deep learn Thank,5,1,283
118,Filled Star Filled Star Filled Star Filled Star Filled Star,   great course interesting effort assignment material suitable level lot away good understanding practice,5,1,283
119,Filled Star Filled Star Filled Star Filled Star Filled Star,   don t know express feel gratitude life career definitely fully use superpower improve humanity community Thank ai,5,1,282
120,Filled Star Filled Star Filled Star Filled Star Filled Star,   assignment week bit ambiguous nature improve,5,1,107
121,Filled Star Filled Star Filled Star Filled Star Filled Star,   easy understand course,5,1,51
122,Filled Star Filled Star Filled Star Filled Star Filled Star,   great course good introduction sequence model introduction attention model great way learn depth design familiar internal,5,1,281
123,Filled Star Filled Star Filled Star Filled Star Filled Star,   t thank Sir wealth knowledge dive look career change area course knowledge confidence oblige,5,1,279
124,Filled Star Filled Star Filled Star Filled Star Filled Star,   begin counter intuitive later final assignment finally gradient descent architecture building training set start sense intriguing,5,1,279
125,Filled Star Filled Star Filled Star Filled Star Filled Star,   course great understanding sequence Attention lot fun Trigger word detection good class thank Professor,5,1,279
126,Filled Star Filled Star Filled Star Filled Star Filled Star,   sin de en hoy la basta de tan la con la es un instructor de de la y de y,5,1,390
127,Filled Star Filled Star Filled Star Filled Star Filled Star,   incredibly great course learn Deep Learning course lecture design learn course get comprehensive understand Deep Learning framework experience deep learning solve real world thank provide wonderful series,5,1,389
128,Filled Star Filled Star Filled Star Filled Star Filled Star,   course great teacher impressive ability explain intuition build course help work think definitely room e g don t teach sequence sequence recurrent maybe follow course,5,1,389
129,Filled Star Filled Star Filled Star Filled Star Filled Star,   like thank people give opportunity follow course course far late technology stack century past lot knowledge experience hope apply knowledge deep learn specialization future,5,1,386
130,Filled Star Filled Star Filled Star Filled Star Filled Star,   module specialization bit complicated find difficult grab,5,1,137
131,Filled Star Filled Star Filled Star Filled Star Filled Star,   course star rating unlike specialization rate reason week interesting impart lot learning consider improve reason give amazing Thank,5,1,386
132,Filled Star Filled Star Filled Star Filled Star Filled Star,   specialization learn lot motivation professional advancement away end professional career pure interest interest exciting time thank especially interesting machine learning,5,1,385
133,Filled Star Filled Star Filled Star Filled Star Filled Star,   wonderful course learn important like learn deal sequence model Hope well perform different datum thankful provide legend teacher thank beautiful course clear goal want field ai,5,1,383
134,Filled Star Filled Star Filled Star Filled Star Filled Star,   continuity previous Sequence course high quality material concise cover wide range consistent clarity assignment good highly recommend course interested natural language speech recognition,5,1,381
135,Filled Star Filled Star Filled Star Filled Star Filled Star,   course Deep Learning journey feel like learn lot sequence different beast non time series thank course recommend particular course moderate understanding deep learning time series analysis,5,1,378
136,Filled Star Filled Star Filled Star Filled Star Filled Star,   succinct overview number sequence cover course take ago t chance look attention set pretty easy think try scratch fill code pretty good project,5,1,377
137,Filled Star Filled Star Filled Star Filled Star Filled Star,   design course especially week week give comprehensive view sequence model week material well clear specific additional give exercise Video well material exercise thank amazing course,5,1,376
138,Filled Star Filled Star Filled Star Filled Star Filled Star,   great introduction sequence real world illuminate previous course specialization feel run predict leave student flounder contrast easier give,5,1,375
139,Filled Star Filled Star Filled Star Filled Star Filled Star,   think exciting learn far combine different modeling achieve desire classification prediction example pretty clear building describe picture blind people,5,1,374
140,Filled Star Filled Star Filled Star Filled Star Filled Star,   short work little twice time write learn famous use,5,1,174
141,Filled Star Filled Star Filled Star Filled Star Filled Star,   great course great specialization professor course specialization gripe notebook hub grade system especially course strange cost lot time say learnt lot happy course content,5,1,373
142,Filled Star Filled Star Filled Star Filled Star Filled Star,   great course overall learn sequence brief understand state art currently assignment trigger word detection insight practical machine learn implementation speech recognition course theory practical advice good fashion,5,1,371
143,Filled Star Filled Star Filled Star Filled Star Filled Star,   Excellent course specialization s special talent able explain complex difficult stuff clarity actually understand follow find course previous varied useful FUN highly learn deep Deep Learning,5,1,371
144,Filled Star Filled Star Filled Star Filled Star Filled Star,   research direction think course good learn implement Sequence model machine translation Attention disadvantage sequence model process big problem datum model overall course good learn,5,1,366
