indice,estrelas,comentario
1,Filled Star:Star:Star:Star:Star:,"Tons of editing errors in lectures, and the programming problems rely more on knowledge of Keras (essentially untaught throughout the course) than they do on understanding of lecture material. A disgraceful end to an otherwise solid course sequence."
2,Filled Star:Filled Star:Star:Star:Star:,"This course is by far the weakest out of the 5 course sequence. I did well in it (96.8%) but I think the programming exercises did not help build understanding of sequence models. Often I found myself just trying to get through the programming because I felt it was more an exercise in reading Keras documentation. I think you can pass this course without a solid understanding of what is going on in the sequence models. The programming exercises should be revamped to focus more on understanding what is happening in the program rather than trying to figure out Keras syntax (which is also useful, but perhaps better suited for a prep course)."
3,Filled Star:Star:Star:Star:Star:,"Full of appalling errors that have been present for over 1 year.  No one fixes it.  It is clear that since Ng was let go by Stanford and Baidu, he is trying to earn a living with deep learning_ai.  This apparently is not working as the small income from Coursera is not sufficient. As a result the prerecorded classes remain on Coursera to accrue some residual income.  But, Andrew Ng and the staff are apparently gone."
4,Filled Star:Filled Star:Filled Star:Star:Star:,"I really like the deeplearning.ai specialization. And also I like the Sequence Models course. However, I feel that I have learned less during this course comparing to the other ones in the specialization. First, I believe it was an extensive use of Keras. Whereas the framework is great, it would be much better for understanding if all the exercises were in numpy, whereas Keras tween-projects be optional.  Doing both numpy and Keras versions would allow to better understand the material and learn through repetition. Second, even though the course is great, I perceived the number of errors/typos was much higher than in other courses. Is that true? For example, the Jazz Improvisation exercise was a nightmare. Overall, thank you for the course. Despite those problems, I would still recommend it."
5,Filled Star:Filled Star:Star:Star:Star:,"The lectures were great. Andrew is a wonderful teacher, but the assignments were beyond miserable. Jupyter notebook is probably the least stable, most infuriating piece of software that I've been forced to interact with. I spent countless hours trapped, not able to perform the most basic of operations, such as saving my work or submitting. I lost work innumerable times. I, like others, eventually resorted to ""saving"" my work by copying it into a text editor on my system for fear of Jupyter sabotaging me. Even if the system was stable, most of the assignments were worthless as learning experiences. The majority of ""programming"" boiled down to playing a cryptic game of fill in the blank. Bottom line, I wouldn't recommend this class to anyone in its current state. Especially as a paid service. I really expected better quality."
6,Filled Star:Star:Star:Star:Star:,Keras is required to pass the assignments but no training provided for it. I can learn it myself of course but then the question is this - what am I paying for?
7,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"To set the context, I have a PhD in Computer Engineering from the University of Texas at Austin. I am a working professional (13+ years), but just getting into the field of ML and AI. Apologies for flashing this preamble for every course that I review on coursera."
8,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I am so grateful that Andrew and the team provided such good course, I learn so much from this course, I am so excited that see the wake word detection model actually work in the programming exercise"
9,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I want to thank Andrew Ng and his team for the amazing work. You definitely make the world a better place sharing this knowledge, and it is an inspiration."
10,Filled Star:Filled Star:Star:Star:Star:,"I went through all course of DeepLearning.ai Specialization. While I was more, or less happy with first 4 courses in this specialization, I have a very bad impression regarding ""Sequence Models"" course. Actually, quality of the courses is gradually declining, starting from 5 stars for very first course in specialization, ending with 2 stars for ""Sequence Models""."
11,Filled Star:Star:Star:Star:Star:,"Videos are okay, but exercise is just debuging!"
12,Filled Star:Filled Star:Filled Star:Star:Star:,5 stars for the very informative lectures.  I especially appreciated the amount of content related to de-biasing models.  Such an important step to take!
13,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,The course is very good and has taught me the all the important concepts required to build a sequence model. The assignments are also very neatly and precisely designed for the real world application.
14,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Learnt a lot about new concepts in RNN and LSTM. Really wanted to learn about these models. This course helped a lot. Everything was new and so fascinating. Loved this course and our teach Andrew NG.
15,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Loved the course - it was very interesting. It is also pretty complex, so will probably go through it again to review the concepts and how the models work. Thank you for this wonderful course series!"
16,Filled Star:Star:Star:Star:Star:,Professor Ng seems a little bit confused about the subject and is making unnecessary analogies rather than going deep into the algorithm and explaining the context as he did in Convolution Neural Networks course. I hope that the videos are revised and professor explains the topic more clearly rather than depicting himself to be confused as well on the topic.
17,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Great hands on instruction on how RNNs work and how they are used to solve real problems. It was particularly useful to use Conv1D, Bidirectional and Attention layers into RNNs and see how they work."
18,Filled Star:Filled Star:Star:Star:Star:,Many topics are only quickly skimmed over. Serves as an overly brief introduction to RNN.
19,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,The lectures covers lots of SOTA deep learning algorithms and the lectures are well-designed and easy to understand. The programming assignment is really good to enhance the understanding of lectures.
20,Filled Star:Star:Star:Star:Star:,super unorganized!
21,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I'm blown away by how quickly this series of courses brought me from thinking a neural network was a magic box full of fairy dust, to being able to understand even the (al)most complex of network architectures and what makes them tick at every level at a glance. A lot of time has obviously gone into structuring this course; not an ounce of fat present and the format of developing intuition before diving into the nitty gritty and optional further learning resonates with me on so many levels. Thank you Andrew Ng and the team at deepmind.ai and coursera!"
22,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Very good. I have no complaints. I though instruction was very  clear. Assignments were very helpful and challenging enough that I learned something, but not so challenging that I got stuck too often. "
23,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,Hope can elaborate the backpropagation of RNN much more. BP through time is a bit tricky though we do not need to think about it during implementation using most of existing deep learning frameworks.
24,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,I was really happy because I could learn deep learning from Andrew Ng.
25,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"If not Internet, I would not have been able to study a world-class Deep Learning course at an affordable price. Thanks Andrew and team."
26,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"The only trouble with this course is that we're talking about seriously deep networks. That means it's difficult to present working, practical cases (jupyter notebooks) to work all the steps."
27,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"This series of course provides a comprehensive overview of NLP algorithm and different applications. I really enjoy the projects the deal with audio files. The course skip the linear algebra and differentiation part that not everyone wants to look into. But I hope it will be better if we could also implement the data processing functions of different types of sequential inputs, since data preprocessing is also significant"
28,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"My knowledge has been upgraded to the next level through Coursera's Deep Learning Specialization. Through systematic and easy-to-understand explanations, quizzes, and program exercises, I was able to increase my interest and understanding of Deep Learning. Based on this, I really want to change my field of work and work related to Deep Learning. My goal is to make myself a person who uses AI without being replaced by AI."
29,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,This was a great intro to RNNs and Sequence Models. 
30,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,I had struggled with the complexity of Sequence Models ever since I started learning about Machine Learning models. This course gave me an easier intuition to the sequence models without dwelling too deep into the mathematical complexities. As a person who has very little experience with Linear Algebra this helped me a lot to understand and apply such architectures to solve problem. Thanks Prof Andrew and the team! :)
31,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I think it is a great course.  There are some issues here and there with notebooks and related materials.  However, considering the large and detailed amount of content in this course and it being a new course, things not being 100% perfect is OK by me.  I would rather have the thoughtful content and exercises, versus something much lighter that would be easier to produce.  Thank you to all who prepare these courses."
32,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Absolutely fantastic. I am Deep Learning professional focusing on Computer Vision and had worked in Vision all my life. I started learning multi-modal AI, and found that my foundations on Sequence Models was shaky. So I came here and learned much about them. Now I can continue my journey towards muti-modal AI such as CNN-RNN hybrid models for image captioning. Such lucid explanations! Andrew Ng is a great teacher."
33,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"Superb course structure, the assignments beautifully complement the lectures and the amount of guidance makes it easy even for someone not too acquainted with programming. As a suggestion would have liked slightly organized detailed presentations which would help in reviewing the course material later by glancing through rather than going through the lectures. Over all an awesome course with great learning. Thanks   "
34,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,I enjoyed learning all the five courses of this deep learning specialization. Special thanks should go to Dr. Andrew and the instructors for delivering the course material in an interesting manner. Quite frankly I'm a little bit disappointed with this specialization being too short. Expect more courses in this specialization in the future. (Maybe reinforced learning).Again thank you all for this great experience.
35,Filled Star:Filled Star:Filled Star:Filled Star:Filled Star:,"I'm grateful for the chance to take the 5 courses in this program for a very affordable price.  It is the best educational deal I've ever come across.  The courses are well taught, I will continue on to take other courses offered online on the same subject.  Thanks to  everyone who made this possible, and I will definitely try to make a contribution to humanity as Prof. Ng has challenged us to do.  "
